repo_name;release_count
fkling/astexplorer;17
flarum/core;45
flarum/flarum-ext-tags;31
FLiotta/ReactSocial;0
flow-typed/flow-typed;18
fluidtrends/chunky;2
formatjs/react-intl;2770
format-message/format-message;0
FormidableLabs/react-swipeable;24
FormidableLabs/spectacle-scripts;0
FortAwesome/react-fontawesome;23
frctl/fractal;169
FredericHeem/starhackit;17
FreeCodeCamp/FreeCodeCamp;0
freesewing/freesewing;0
frintjs/frint;82
fritx/react-editor;0
frouriojs/create-frourio-app;106
fuseio/fuse-studio;0
fusionjs/fusionjs;127
fuzz-productions/generator-mortar;0
gaearon/react-dnd;138
gaearon/react-hot-loader;158
gaearon/redux-devtools;107
gatsbyjs/gatsby;134
GeoNode/django-osgeo-importer;1
geowarin/boot-react;0
gergelyszabo94/csgo-trader-extension;72
GertjanReynaert/react-intl-translations-manager;18
getsentry/raven-js;526
GetStream/Winds;0
GladysAssistant/Gladys;137
glennreyes/react-graphql-workshop;0
GMartigny/pencil.js;43
godaddy/gasket;0
googleapis/nodejs-bigquery;87
googleapis/nodejs-bigtable;81
googleapis/nodejs-datastore;90
googleapis/nodejs-dlp;60
googleapis/nodejs-error-reporting;29
GoogleChrome/workbox;84
GoogleCloudPlatform/nodejs-docs-samples;0
GoogleWebComponents/model-viewer;56
gourmetjs/gourmet;0
govau/pancake;0
gpbl/react-day-picker;54
grand-stack/grand-stack-starter;25
Graphile/graphile-build;0
graphql/graphiql;926
graphql-boilerplates/react-fullstack-graphql;0
graue/potsfyi;0
griffinsockwell/react-firebase-crud;0
grindjs/framework;18
grpc/grpc-node;268
gruelbox/orko;13
gsoft-inc/craco;24
guandjoy/primitivo-svg;0
guardian/facia-tool;0
guardian/pasteup;0
guardicore/monkey;19
guigrpa/docx-templates;31
Guillembonet/single-spa-parcel-example;0
gunderson/jquery.spriteAnimation;0
gxchain/gxb-light;7
haadcode/anonymous-networks;0
hainproject/hain;23
haiwen/seahub;335
hammerframework/hammer;291
hanford/trends;0
Hardtack/react-material-components-web;0
hashicorp/vault;146
hasura/graphql-engine;271
hasura/graphqurl;0
hasura/learn-graphql;0
heetch/flamingo;72
helium/console;62
hensm/fx_cast;12
highcharts/highcharts-vue;1
holderdeord/hdo-transcript-search;0
holistics/js;0
hpcc-systems/Visualization;208
hshoff/vx;105
hslayers/hslayers-ng;125
hstarorg/web-dojo;0
hyperfuse/react-anime;0
hypery2k/galenframework-cli;34
hyva-themes/magento2-hyva-checkout;18
ianobermiller/redux-react-hook;0
ianstormtaylor/slate;174
ibissource/frank-flow;132
IBM/carbon-components;953
IBM/design-system-website;0
ice-lab/ice-scripts;13
iCHEF/gypcrete;59
idekerlab/hiview;1
identity-box/identity-box;18
IgorMCesar/react-express-mongo-boilerplate;0
igroff/epiquery2;0
illright/attractions;24
infernojs/inferno;187
infinitered/gluegun;93
influxdata/chronograf;103
InfomediaLtd/angular2-tutorial;0
InkProject/ink;1
insideout10/wordlift-plugin;10
instructure/instructure-ui;105
ioanungurean/forge-react-app;0
iotaledger/trinity-wallet;64
ipfs-inactive/js-ipfs-http-client;138
ipython/ipywidgets;20
isel-leic-pi/PI-1920v-LI51N;0
IsraelHikingMap/Site;74
istanbuljs/istanbuljs;40
istrategylabs/mo-django;0
iverberk/nomad-ui;66
jadu/pulsar;144
jaketrent/react-drift;0
jamesplease/redux-resource;47
janizde/p5-webpack-yeoman-generator;2
jaredpalmer/razzle;253
Jaxelr/VueSimpleTemplate;17
jbolda/covector;101
jcmcneal/react-step-wizard;13
jeanpan/react-native-camera-roll-picker;5
JetBrains/ring-ui;0
jhipster/generator-jhipster;38
jkcfg/jk;16
jlongster/prettier;117
joe-sky/nornj;29
JoinColony/colonyNetwork;24
joshjhargreaves/react-native-event-calendar;0
jow-/luci-ng;0
JoyOfJavaScript/joj;0
jpikl/cfxnes;4
jquense/react-widgets;27
jrussumbrella/dress-shop;0
js-accounts/accounts;99
JSainsburyPLC/react-timelines;3
jsdrupal/drupal-react-db-log;0
js-joda/js-joda;32
jungsoft/apollo-sentry-helper;5
JustFly1984/react-google-maps-api;0
jwkvam/bowtie;26
jxnblk/styled-system;6
jxom/bumbag;93
kadirahq/react-storybook;1420
Kaetram/Kaetram-Open;5
kba/hocrjs;16
keep-network/keep-ecdsa;39
keplergl/kepler.gl;22
keyboardio/Chrysalis;71
keystonejs/keystone;64
Khan/aphrodite;0
KhronosGroup/glTF-Sample-Viewer;3
kiegroup/optaweb-vehicle-routing;0
kindlyops/havengrc;3
kirill-konshin/create-react-server;4
klaytn/caver-js;127
klis87/redux-requests;97
krausest/js-framework-benchmark;30
kt3k/kocha;0
kubeflow/katib;16
kusti8/proton-native;0
laconiajs/laconia;0
Lambda-School-Labs/LabsPT1_bkwds;0
lance-gg/tinygames;0
Lanfei/webpack-isomorphic;0
larrymyers/react-mini-router;0
LeadcoinNetwork/Web-App-Project;0
legumeinfo/lis_context_viewer;16
Lemoncode/webpack-3.x-by-sample;0
less/less.js;35
LessWrong2/Lesswrong2;4
liaisonjs/liaison;0
lidaof/eg-react;6
liferay/liferay-frontend-projects;308
linode/manager;337
LiskHQ/lisk;140
LiskHQ/lisk-node;0
LiteFarmOrg/LiteFarm;24
livecoders/website;0
livepeer/livepeerjs;676
LogRocket/redux-logger;42
lowdefy/lowdefy;189
lucascassiano/reViz3d;0
Lucifier129/pull-element;0
lukeed/klona;8
lukeed/pwa;13
ly525/luban-h5;25
lyfeyaj/swipe;1
lynndylanhurley/redux-auth;0
macarthur-lab/xbrowse;3
maidsafe/safe_examples;29
MailOnline/mol-video-ad-sdk;18
MainframeHQ/erebos;24
mapbox/underreact;0
marco76/SpringAngular2TypeScript;0
mariocoski/express-typescript-react-redux-universal;0
marko-js/cli;0
MarkPieszak/AspNETCore-Vue-starter;6
marmelab/react-admin;357
marmelab/sedy;1
marmelo/dropwizard-metrics-ui;0
marnusw/react-css-transition-replace;0
martijnboland/VSReact;0
material-components/material-components-web;11
materialsproject/MPContribs;78
maticzav/emma-cli;23
MayGo/tockler;130
mbraak/django-file-form;0
mbraak/django-mptt-admin;0
mccxiv/tc;79
mckenziearts/shopper;8
MCS-Lite/mcs-lite;0
medialab/ricardo;0
medic/cht-core;123
meilisearch/instant-meilisearch;78
mejedi/luajit.me;11
meltyshev/planka;125
mendersoftware/gui;0
messageformat/messageformat;37
meteor/meteor;0
metonym/svelte-highlight;54
mglaman/contribkanban.com;0
michalzaq12/electron-nuxt;0
microlinkhq/microlinkjs;26
MicroPad/MicroPad-Core;78
Microsoft/AdaptiveCards;60
Microsoft/botbuilder-js;37
microsoft/botframework-cli;10
Microsoft/PowerBI-Developer-Samples;0
MiguelCastillo/bit-bundler;14
mikewesthad/navmesh;1
Mikeysax/mikey;0
milesj/beemo;305
mineral-ui/mineral-ui;0
minhuyen/cookiecutter-expressjs;19
Minishlink/DailyScrum;4
mistercrunch/panoramix;205
mizx/mfe-webpack-demo;0
mjmlio/mjml;101
mjrussell/redux-auth-wrapper;0
mlaursen/react-md;177
mockyeah/mockyeah;0
momentumft/navy;17
mongodb-js/compass;445
moorara/microservices-demo;0
MoOx/phenomic;96
mozilla/hubs;2
mozilla/voice-web;157
mozilla-neutrino/neutrino-dev;0
mrsharpoblunto/it-gets-the-hose-again;0
msusur/codefiction-stats-graphql;0
mullvad/mullvadvpn-app;152
munshkr/flok;0
Musare/MusareNode;33
MuYunyun/create-react-doc;5
mvolkmann/react-examples;0
mwaylabs/generator-m-ionic;22
n6g7/redux-saga-firebase;28
namics/generator-nitro;132
nasa/cumulus;161
NativeScript/nativescript-angular;18
navikt/nav-frontend-moduler;762
nearform/graphql-hooks;319
necolas/react-native-web;21
neontribe/gbptm;1
neovim/node-client;0
neowu/frontend-demo-project;0
NERC-CEH/datalab;8
NetCoreTemplates/react-spa;0
netlabtoolkit/ntk;0
netlify/netlify-cms;168
networknt/react-schema-form;42
NewDadaFE/react-impression;47
newsuk/times-components;0
nextcloud/tasks;30
nfl/react-wildcat;0
ngageoint/mage-server;86
nguymin4/react-videocall;0
nhn/tui.editor;134
nhn/tui.grid;130
nicoespeon/gitgraph.js;36
NicolasSiver/nodebb-plugin-ns-awards;0
nicolodavis/boardgame.io;0
ninjadev/nin;22
nlp-compromise/compromise;71
nls-oskari/oskari;0
nodefony/nodefony;38
nodejs/benchmarking;0
nodejs/node;404
nol13/fuzzball.js;22
nomiclabs/buidler;283
nossas/bonde-client;12
nozzle/react-static;5
nteract/nteract;66
nusmodifications/nusmods;1
nuxt/nuxt.js;224
nxtedition/create-caspar-graphics;0
NYTimes/kyt;823
OfficeDev/TrainingContent;0
okfn/recline;52
okta/okta-oidc-js;76
okta/samples-js-vue;0
oliver-moran/jimp;111
oncletom/nodebook;33
onehilltech/ember-cli-mdc;1
OnsenUI/OnsenUI;70
ooade/pimg;8
oors/oors;0
open-ch/pyrene;0
OpenEx-Platform/openex;18
openforis/sepal;1
openhab/openhab-webui;0
openshift/console;0
OpenZeppelin/openzeppelin-sdk;27
openzipkin/zipkin-js;19
Opetushallitus/koski;0
optimizely/javascript-sdk;102
oracle/netsuite-suitecloud-node-cli;30
OriginProtocol/Origin;3
ornl-sava/nv;0
OSBI/saiku;1
Osedea/react-native-opengraph-kit;0
ovh/manager;1206
owncloud/calendar;20
oysterprotocol/webnode;0
PackageFactory/PackageFactory.Guevara;236
PacktPublishing/Node.js-Design-Patterns-Third-Edition;0
pagermon/pagermon;32
pakokrew/mooni;1
palmerhq/backpack;19
paralect/stack;0
parcel-bundler/parcel;35
parkroolucas/shareful;0
Parrit/Parrit;8
pascalopitz/sonos-controller-for-chrome;69
PatrickKalkman/MiniVideoEncoder;0
pattern-lab/patternlab-node;124
patternplate/patternplate;38
pauldotknopf/react-aspnet-boilerplate;0
PaulLeCam/react-leaflet;126
PeculiarVentures/GammaCV;15
peer-base/peer-base;0
petecoop/generator-express;23
petehunt/jsxstyle;5
peter-leonov/introscope;0
pfefferf/ui5-nwabap-deployer;0
pH200/cycle-react;5
phenyl-js/phenyl;10
phonegap/phonegap-template-vue-f7-blank;0
phonegap/phonegap-template-vue-f7-split-panel;0
pikapkg/builders;7
pikapkg/snowpack;83
pinterest/gestalt;2442
Pivotal/postfacto;31
pivotal-cf/pivotal-ui;22
plotly/dash-core-components;0
plouc/nivo;50
pluralsight/design-system;1
pmmmwh/react-refresh-webpack-plugin;29
pol-is/polis;0
PolymerLabs/arcs;0
Popmotion/popmotion;0
poppinss/indicative;11
postgres/pgadmin4;0
pouchdb/pouchdb;69
PrairieLearn/PrairieLearn;438
preconstruct/preconstruct;107
prescottprue/fireadmin;21
prescottprue/redux-firebasev3;9
Prettyhtml/prettyhtml;22
priceline/design-system;1157
probot/smee;12
ProjectEvergreen/greenwood;138
projectfluent/fluent.js;100
promethe42/cocorico;0
psolom/RichFilemanager;32
PsychoLlama/mytosis;0
ptarmiganlabs/butler-sos;76
pwmarcz/minefield;0
qlik-oss/nebula.js;0
quid/refraction;0
quiltdata/t4;0
r0adkll/sign-android-release;4
r6db/app;0
rate-engineering/rate3-monorepo;0
raviqqe/code2d;0
raxjs/rax-app;39
rblopes/generator-phaser-plus;0
reach4help/reach4help;3
react-cosmos/react-cosmos;82
reactjs/express-react-views;0
reactjs/react-rails;23
reactjs/react-redux;132
reactjs/react-router-redux;18
reactjs/redux;78
react-materialize/react-materialize;29
react-monaco-editor/react-monaco-editor;7
react-native-community/cli;181
ReactTraining/react-router;277
reaktor/purescript-workshop;0
RedHatInsights/frontend-components;0
redux-book/code-samples;0
reduxjs/examples;0
redux-saga/redux-saga;72
redwoodjs/example-blog;0
reframejs/reframe;1
relayjs/relay-examples;0
RemoteMetering/geteventstore-promise;0
renke/import-sort;0
resgateio/resclient;0
responsively-org/responsively-app;59
restify/node-restify;13
rethinkdb/horizon;1
rhodlib/mern_personal_blog;0
rickbeerendonk/react-examples;15
rickbergfalk/sqlpad;66
Riim/Rionite;0
ringcentral/ringcentral-js-widgets;228
rjwats/esp8266-react;0
roadiz/BaseTheme;3
RobbinBaauw/CSHub;6
robi42/boot-rest;0
RocketChat/Rocket.Chat.Fuselage;99
romainberger/react-portal-tooltip;0
romgain/jest-websocket-mock;14
RonnieSan/vue-browser-sfc;0
root-gg/wigo;25
rse/apollo-client-ws;0
rstoenescu/quasar-framework;923
runtools/run;0
rwieruch/fullstack-apollo-react-express-boilerplate-project;0
ryanelian/instapack;0
sagefy/sagefy;10
saltyshiomix/nextron;0
SamHH/bukubrow;8
Samsung/node-jerryscript;0
samtecspg/articulate;35
SamVerschueren/tsd-typescript;8
sanity-io/sanity;506
SAP/service-fabrik-broker;41
SAP/ui5-webcomponents;247
sapegin/react-styleguidist;293
ScottLogic/StockFlux;21
scrapinghub/portia;1
sealday/hera;0
Sebobo/Shel.Neos.YoastSeo;23
Semantic-Org/Semantic-UI;154
sendbird/SendBird-JavaScript;0
sendgrid/sendgrid-nodejs;97
serverless/serverless-graphql;0
Setsun/react-choreography;2
seznam/ima;2
ShabadOS/desktop;52
shakacode/bootstrap-loader;10
shepherdwind/css-hot-loader;0
shesek/spark-wallet;29
ShieldBattery/shieldbattery;0
shopware/administration;0
SignalK/signalk-server-node;138
silk-framework/silk;13
silklabs/silk;0
simon04/locator-tool;0
simonh1000/elm-jwt;0
sketch-pm/skpm;23
skystebnicki/chamel;0
sky-uk/api-explorer;12
sloria/cookiecutter-flask;0
smartcontractkit/external-adapters-js;150
smooth-code/smooth.js;61
sockethub/sockethub;11
SoftwareAteliers/asp-net-core-vue-starter;27
software-mansion/react-native-gesture-handler;96
solui/solui;0
Soluto/tweek;19
soulmachine/react-starter-kits;0
SpareBank1/designsystem;4164
spring-cloud/spring-cloud-dataflow-ui;26
spring-guides/tut-react-and-spring-data-rest;0
ssr-server/ssr;0
statsbotco/cubejs-client;1028
stevematney/valour;0
stoikerty/dev-toolkit;34
Strapi/strapi;387
streamr-dev/streamr-platform;4
stucco/data;0
styled-components/styled-components;169
styled-system/extras;0
supabase/monorepo;15
survivejs/react;0
survivejs-demos/mobx-demo;0
system-ui/theme-ui;168
tableau/extensions-api;12
taimos/serverless-todo-demo;0
tamb/domponent;22
TankerHQ/quickstart-examples;0
tavultesoft/keymanweb;2
tbranyen/diffhtml;0
tegapp/teg;4
Tencent/wepy;8
tensorflow/tfjs-examples;0
terascope/teraslice;201
TerriaJS/magda;190
testingisdocumenting/znai;40
textlint/textlint;687
the-front/angularjs-ee-boilerplate;22
thefrontside/bigtest;0
theKashey/react-hot-component-loader;14
themeteorchef/getting-started-with-react-router-v4;0
theroux/clingify;0
thesofakillers/GPTrue-or-False;4
thetatoken/theta-infrastructure-ledger-explorer;0
thiloplanz/glulx-typescript;0
thm-projects/arsnova.click;14
thredup/rollbar-sourcemap-webpack-plugin;0
tidusjar/PlexRequests.Net;433
TimeMagazine/time-interactive;0
tinajs/mina-webpack;0
tivac/modular-css;163
TIY-Houston-Front-End-Engineering/Course-Guide;0
tobius/imagecolors;0
Tonejs/Tone.js;15
tracespace/tracespace;0
TradeMe/tractor;0
trainline/environment-manager;1
transitive-bullshit/create-react-library;0
transloadit/uppy;116
trendscenter/coinstac;66
trevelyan/saito;2
triplecanopy/b-ber;0
TronLink/tronlink-extension;2
trovit/reffects;0
TrueCar/gluestick;193
trustworktech/create-react-ssr-app;0
TryGhost/Ghost-SDK;0
tsoporan/fittrak;6
TsutomuNakamura/my-react-js-tutorials;0
ttencate/jfxr;0
tuateam/tua-mp;14
tudorconstantin/knests;0
Turfjs/turf;13
tylermcginnis/re-base;0
TypeStrong/ts-loader;162
uber/manifold;2
uber/nebula.gl;0
uber/react-map-gl;164
uber-common/react-vis;59
uber-common/vis-academy;0
ubyssey/dispatch;128
ucfopen/Obojobo;43
uclapi/uclapi;27
uidu-org/guidu;8358
ujjwalguptaofficial/sqlweb;11
UltimateHackingKeyboard/agent;74
unep-grid/map-x-mgl;0
unicef/magicbox-kepler-app;0
unlock-protocol/unlock;32
uPortal-contrib/uPortal-web-components;0
uptick/react-keyed-file-browser;36
Urigo/angular-meteor;80
usehenri/henri;40
vacuumlabs/babel-plugin-extensible-destructuring;0
valette/desk;0
vazco/uniforms;0
vercel/next.js;2659
vercel/next-plugins;0
veritone/veritone-sdk;124
vfeskov/WinABeer;9
vgteam/sequenceTubeMap;0
vietnam-devs/crmcore;0
virtool/virtool;485
viscom-ulm/Net2Vis;0
VisualComposer/builder;67
vitorbritto/boilerplates;0
vivliostyle/vivliostyle.js;134
vreaxe/travel-expense-manager;13
VREMSoftwareDevelopment/bwmon;12
vudash/vudash;0
vuejs/vue-cli;177
vuejs/vue-devtools;89
vuejs/vuepress;22
wayfair/tungstenjs;1
wduckitt/React-Automation-Studio;25
webdriverio/webdriverio;484
webpack-contrib/polymer-webpack-loader;0
webXcerpt/openCPQ;0
wesbos/advanced-react-rerecord;0
WesleydeSouza/subway-time;0
wifi-tally/wifi-tally;16
wikimedia/mediawiki-extensions-ContentTranslation;0
wojtekmaj/react-daterange-picker;37
wojtekmaj/react-datetimerange-picker;40
wojtekmaj/react-timerange-picker;33
wso2/carbon-apimgt;2
wso2/carbon-dashboards;1
WWAWing/WWAWing;201
wxajs/wxa;0
xiaoxinghu/orgajs;293
xing/hops;120
xiyuyizhi/handy-make;0
xrchat/xrchat-server;132
yahoo/navi;0
yduman/retro;12
yeswework/fabrica-dev-kit;0
yldio/joyent-portal;1
Yoast/YoastSEO.js;79
yunhan0/koa-vue-fullstack;2
yuvipanda/simplest-notebook;0
yyc-git/Wonder.js;59
zeebe-io/zeebe-modeler;21
ZeeCoder/container-query;39
zemuldo/iso_8583;4
Zenika/FAQ;0
Zenika/immutadot;13
zensoftio/ZenKicker;6
Zero-to-Heroes/firestone;577
zesty-io/design-system;0
ZhonganTechENG/zarm;83
zmts/lovefy-api-nodejs;0
zouabimourad/angular2-spring;0
zusam/zusam;19
